Severity,Start_Lat,Start_Lng,Distance(mi),City,State,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Weather_Condition,Civil_Twilight,Year,Month,Date,Hour,Day,Duration
3,40.88485,-95.800362,1.629999995,Thurman,IA,31,85,28.84,10,CALM,0,Clear,Day,2019,Dec,26,17,Thu,21230
3,40.889641,-95.79863,1.669999957,Thurman,IA,31,85,28.84,10,CALM,0,Clear,Day,2019,Dec,26,17,Thu,21229
3,42.313499,-83.091225,0,Detroit,MI,28,92,29.06,7,W,13,Cloudy,Night,2019,Dec,31,23,Tue,98
2,42.398125,-83.109009,0,Detroit,MI,28,92,29.06,7,W,13,Cloudy,Night,2019,Dec,31,23,Tue,94
2,39.754967,-75.276283,0,Swedesboro,NJ,43,53,29.68,10,W,14,Cloudy,Night,2019,Dec,31,23,Tue,182
3,47.485027,-122.195717,0,Renton,WA,53,86,29.64,10,S,13,Cloudy,Night,2019,Dec,31,21,Tue,51
2,47.53035,-122.269997,0.129999995,Seattle,WA,54,83,29.64,10,S,12,Cloudy,Night,2019,Dec,31,21,Tue,30
2,46.096649,-123.916359,0,Seaside,OR,52,97,29.83,1,W,13,Rain,Night,2019,Dec,31,23,Tue,77
2,38.608723,-121.27063,0,Rancho Cordova,CA,43,93,30.07,10,E,6,Cloudy,Night,2019,Dec,31,21,Tue,66
2,37.372181,-121.927177,0.579999983,San Jose,CA,49,71,30.11,10,S,3,Cloudy,Night,2019,Dec,31,22,Tue,45
2,37.957104,-121.240189,0,Stockton,CA,46,83,30.09,6,SE,7,Fog,Night,2019,Dec,31,23,Tue,162
2,37.778107,-122.401192,0,San Francisco,CA,49,86,30.14,10,S,5,Cloudy,Night,2019,Dec,31,23,Tue,30
2,35.317268,-120.621109,0,San Luis Obispo,CA,45,82,29.89,10,CALM,0,Cloudy,Night,2019,Dec,31,23,Tue,109
3,33.859909,-118.299179,0,Gardena,CA,59,38,29.99,10,W,5,Clear,Night,2019,Dec,31,21,Tue,189
3,34.053688,-118.258064,0,Los Angeles,CA,58,37,29.89,10,N,3,Clear,Night,2019,Dec,31,22,Tue,58
2,34.101685,-118.31649,0,Los Angeles,CA,58,37,29.89,10,N,3,Clear,Night,2019,Dec,31,22,Tue,30
4,34.032154,-118.262436,0.930000007,Los Angeles,CA,58,37,29.89,10,N,3,Clear,Night,2019,Dec,31,23,Tue,65
2,34.062706,-118.24884,0,Los Angeles,CA,58,39,29.85,10,N,3,Cloudy,Night,2019,Dec,31,23,Tue,30
2,41.848064,-71.062386,0,Berkley,MA,36,59,30.2,10,W,3,Clear,Day,2019,Dec,25,9,Wed,74
2,42.66069,-71.192589,0,Andover,MA,36,55,30.04,10,CALM,0,Clear,Day,2019,Dec,25,12,Wed,44
2,42.157021,-71.069061,0,Stoughton,MA,31,72,30.16,10,CALM,0,Cloudy,Night,2019,Dec,25,20,Wed,75
2,42.338776,-71.276962,0,Weston,MA,26,81,30.04,10,CALM,0,Clear,Night,2019,Dec,25,20,Wed,70
3,42.37957,-83.200256,0.340000004,Detroit,MI,32,100,29.37,0.25,S,5,Fog,Night,2019,Dec,25,7,Wed,91
3,42.40947,-83.082047,0.349999994,Highland Park,MI,33,100,29.36,0.25,S,5,Fog,Day,2019,Dec,25,9,Wed,89
2,41.797729,-83.68914,0,Ottawa Lake,MI,54,57,29.23,10,W,7,Clear,Day,2019,Dec,25,13,Wed,90
3,42.477192,-83.092766,0,Madison Heights,MI,46,78,29.19,10,S,3,Clear,Night,2019,Dec,25,18,Wed,120
2,42.967209,-83.671837,0,Burton,MI,48,63,29.09,10,S,5,Clear,Night,2019,Dec,25,18,Wed,65
3,42.459633,-83.104492,0,Hazel Park,MI,39,93,29.31,8,SE,5,Clear,Night,2019,Dec,25,21,Wed,83
2,43.02824,-83.719643,0,Flint,MI,33,89,29.15,6,CALM,0,Clear,Night,2019,Dec,25,23,Wed,110
2,43.093609,-73.52877,0,Greenwich,NY,17,88,29.86,10,CALM,0,Clear,Night,2019,Dec,25,0,Wed,72
3,43.327518,-73.684631,1.710000038,Queensbury,NY,33,54,29.77,10,CALM,0,Clear,Day,2019,Dec,25,16,Wed,44
3,42.393494,-73.826744,17.20000076,West Coxsackie,NY,22,82,29.92,10,CALM,0,Cloudy,Day,2019,Dec,25,7,Wed,144
3,42.75098,-73.870934,2.170000076,Albany,NY,20,81,29.92,10,CALM,0,Cloudy,Day,2019,Dec,25,7,Wed,653
2,41.776436,-73.768097,0,Salt Point,NY,30,66,30.06,10,CALM,0,Clear,Day,2019,Dec,25,9,Wed,165
2,42.89238,-73.861763,0,Ballston Lake,NY,50.83377255,79.17379788,29.29584917,8.074134635,E,6.708214721,Cloudy,Day,2019,Dec,25,12,Wed,154
2,41.776436,-73.768097,0,Salt Point,NY,40,49,29.95,10,CALM,0,Clear,Day,2019,Dec,25,15,Wed,59
2,42.340832,-75.402893,0,Bainbridge,NY,35,64,28.32,10,S,5,Clear,Night,2019,Dec,25,21,Wed,69
3,42.706902,-74.314827,0,Howes Cave,NY,50.83377255,79.17379788,29.29584917,8.074134635,E,6.708214721,Cloudy,Night,2019,Dec,25,22,Wed,29
